age,gender,experience_level,group_preference,energy_preference,structure_preference,goal,target_style_bucket
20,Female,Intermediate,Group,Depends on mood,Mix,Learning a new skill,Yoga-Aerial
20,Female,Intermediate,Group,Depends on mood,Mix,Learning a new skill,Dance-Latin
20,Female,Beginner,Private,Calm,Mix,Creative expression,Dance-Urban
19,Female,Intermediate,No preference,Calm,Structured,Physical fitness / health,Fitness-Strength
21,Female,Beginner,Private,Depends on mood,Structured,Physical fitness / health,Fitness-Controlled
21,Female,Beginner,Private,Depends on mood,Structured,Physical fitness / health,Dance-Classical
21,Female,Intermediate,Group,Depends on mood,Structured,Physical fitness / health,Fitness-HighIntensity
23,Female,Intermediate,Private,Depends on mood,Mix,Creative expression,Dance-Classical
20,Male,Intermediate,No preference,Depends on mood,Mix,Creative expression,Yoga-Aerial
20,Male,Intermediate,No preference,Depends on mood,Mix,Creative expression,Fitness-HighIntensity
20,Male,Intermediate,No preference,Depends on mood,Mix,Creative expression,Dance-Urban
20,Male,Intermediate,Private,High,Freestyle,Stress relief,Yoga-Calm
20,Male,Intermediate,Private,High,Freestyle,Stress relief,Fitness-Strength
20,Male,Intermediate,Private,High,Freestyle,Stress relief,Dance-Latin
26,Male,Advanced,Private,High,Mix,Learning a new skill,Fitness-Strength
26,Male,Advanced,Private,High,Mix,Learning a new skill,Dance-Latin
18,Female,Advanced,Group,High,Structured,Stress relief,Dance-Classical
21,Female,Beginner,Group,Calm,Structured,Creative expression,Dance-Classical
24,Female,Intermediate,Private,High,Freestyle,Stress relief,Fitness-HighIntensity
20,Female,Intermediate,Group,Depends on mood,Structured,Stress relief,Yoga-Aerial
20,Female,Intermediate,Group,Depends on mood,Structured,Stress relief,Fitness-Controlled
20,Female,Intermediate,Group,Depends on mood,Structured,Stress relief,Dance-Urban
22,Female,Advanced,Group,Depends on mood,Mix,Social,Dance-Classical
30,Female,Advanced,No preference,Calm,Mix,Stress relief,Fitness-Controlled
18,Other,Beginner,Group,High,Mix,Social,Dance-Urban
21,Female,Intermediate,No preference,Depends on mood,Structured,Physical fitness / health,Yoga-Aerial
21,Male,Beginner,No preference,High,Structured,Physical fitness / health,Fitness-Strength
18,Female,Beginner,Group,Calm,Mix,Stress relief,Yoga-Aerial
23,Male,Intermediate,No preference,High,Structured,Physical fitness / health,Fitness-Strength
21,Female,Advanced,No preference,High,Mix,Physical fitness / health,Fitness-HighIntensity
21,Female,Advanced,No preference,High,Mix,Physical fitness / health,Dance-Latin
20,Male,Beginner,Private,Calm,Freestyle,Creative expression,Yoga-Aerial
50,Other,Intermediate,Group,High,Mix,Stress relief,Dance-Latin
26,Female,Beginner,Private,Depends on mood,Freestyle,Physical fitness / health,Fitness-HighIntensity
49,Female,Beginner,Group,Depends on mood,Structured,Stress relief,Yoga-Calm
49,Female,Beginner,Group,Depends on mood,Structured,Stress relief,Dance-Latin
34,Male,Intermediate,Private,Depends on mood,Freestyle,Physical fitness / health,Fitness-Strength
26,Female,Advanced,Group,Calm,Structured,Stress relief,Yoga-Dynamic
29,Male,Intermediate,Group,High,Structured,Social,Fitness-HighIntensity
29,Male,Intermediate,Group,High,Structured,Social,Dance-Classical
18,Male,Advanced,Group,High,Mix,Learning a new skill,Fitness-Strength
18,Male,Advanced,Group,High,Mix,Learning a new skill,Dance-Urban
23,Female,Beginner,Private,Depends on mood,Freestyle,Creative expression,Dance-Classical
21,Female,Intermediate,Private,High,Freestyle,Physical fitness / health,Fitness-Strength
20,Female,Beginner,No preference,Calm,Mix,Physical fitness / health,Dance-Classical
20,Female,Intermediate,Group,High,Mix,Learning a new skill,Dance-Latin
20,Female,Beginner,No preference,Depends on mood,Mix,Learning a new skill,Dance-Urban
19,Female,Beginner,No preference,Depends on mood,Mix,Physical fitness / health,Fitness-Strength
21,Male,Beginner,Group,Calm,Mix,Stress relief,Fitness-HighIntensity
21,Male,Beginner,Group,Calm,Mix,Stress relief,Dance-Latin
25,Male,Intermediate,Group,High,Structured,Physical fitness / health,Fitness-Strength
20,Female,Beginner,Group,Depends on mood,Structured,Learning a new skill,Dance-Urban
21,Female,Intermediate,Group,High,Structured,Stress relief,Dance-Classical
22,Female,Beginner,Group,High,Mix,Stress relief,Fitness-HighIntensity
22,Female,Beginner,Group,High,Mix,Stress relief,Dance-Urban
21,Female,Intermediate,No preference,Depends on mood,Mix,Physical fitness / health,Fitness-Strength
21,Female,Intermediate,No preference,High,Mix,Stress relief,Fitness-Strength
21,Female,Beginner,Group,Calm,Mix,Stress relief,Yoga-Aerial
22,Female,Beginner,Private,Depends on mood,Structured,Physical fitness / health,Fitness-Controlled
22,Female,Beginner,Private,Depends on mood,Structured,Physical fitness / health,Dance-Classical
20,Other,Beginner,Group,High,Mix,Social,Dance-Urban
34,Male,Intermediate,Private,Depends on mood,Freestyle,Physical fitness / health,Fitness-Strength
23,Female,Beginner,No preference,High,Structured,Physical fitness / health,Fitness-Strength
